module_code,course_name,course_provider,course_level,module_name,difficulty_level,keywords,link
CL0048,Expert Cloud Computing Course,Coursera,Expert,Advanced Topics in Expert Cloud Computing Course,Hard,"cloud, AWS, Azure, GCP",https://coursera.com/cloud-computing/expert
SO0049,Expert Software Engineering Course,Pluralsight,Expert,Advanced Topics in Expert Software Engineering Course,Hard,"software engineering, programming, coding, development",https://pluralsight.com/software-engineering/expert
CL0050,Expert Cloud Computing Course,LinkedIn Learning,Expert,Introduction to Expert Cloud Computing Course,Easy,"cloud, AWS, Azure, GCP",https://linkedinlearning.com/cloud-computing/expert
CL0051,Intermediate Cloud Computing Course,edX,Intermediate,Introduction to Intermediate Cloud Computing Course,Easy,"cloud, AWS, Azure, GCP",https://edx.com/cloud-computing/intermediate
UI0052,Intermediate UI/UX Design Course,Udemy,Intermediate,Introduction to Intermediate UI/UX Design Course,Easy,"UI, UX, design, user experience, user interface",https://udemy.com/ui/ux-design/intermediate
CY0053,Beginner Cybersecurity Course,edX,Beginner,Intermediate Concepts in Beginner Cybersecurity Course,Medium,"cybersecurity, information security, encryption",https://edx.com/cybersecurity/beginner
MO0054,Intermediate Mobile App Development Course,LinkedIn Learning,Intermediate,Introduction to Intermediate Mobile App Development Course,Easy,"mobile app development, Android, iOS, Flutter",https://linkedinlearning.com/mobile-app-development/intermediate
DA0055,Expert Data Science Course,Udemy,Expert,Introduction to Expert Data Science Course,Easy,"data science, big data, analysis, statistics",https://udemy.com/data-science/expert
AI0056,Expert AI Course,LinkedIn Learning,Expert,Advanced Topics in Expert AI Course,Hard,"AI, deep learning, machine learning",https://linkedinlearning.com/ai/expert
IO0057,Beginner IoT Course,Coursera,Beginner,Intermediate Concepts in Beginner IoT Course,Medium,"IoT, internet of things, smart devices",https://coursera.com/iot/beginner
MO0058,Expert Mobile App Development Course,Udemy,Expert,Intermediate Concepts in Expert Mobile App Development Course,Medium,"mobile app development, Android, iOS, Flutter",https://udemy.com/mobile-app-development/expert
UI0059,Intermediate UI/UX Design Course,Coursera,Intermediate,Introduction to Intermediate UI/UX Design Course,Easy,"UI, UX, design, user experience, user interface",https://coursera.com/ui/ux-design/intermediate
MA0060,Expert Machine Learning Course,Google Developers,Expert,Advanced Topics in Expert Machine Learning Course,Hard,"machine learning, AI, artificial intelligence",https://googledevelopers.com/machine-learning/expert
MA0061,Expert Machine Learning Course,LinkedIn Learning,Expert,Advanced Topics in Expert Machine Learning Course,Hard,"machine learning, AI, artificial intelligence",https://linkedinlearning.com/machine-learning/expert
SO0062,Intermediate Software Engineering Course,Coursera,Intermediate,Advanced Topics in Intermediate Software Engineering Course,Hard,"software engineering, programming, coding, development",https://coursera.com/software-engineering/intermediate
WE0063,Expert Web Development Course,Udemy,Expert,Introduction to Expert Web Development Course,Easy,"web development, frontend, backend, full-stack",https://udemy.com/web-development/expert
IO0064,Beginner IoT Course,Coursera,Beginner,Introduction to Beginner IoT Course,Easy,"IoT, internet of things, smart devices",https://coursera.com/iot/beginner
MO0065,Intermediate Mobile App Development Course,Coursera,Intermediate,Advanced Topics in Intermediate Mobile App Development Course,Hard,"mobile app development, Android, iOS, Flutter",https://coursera.com/mobile-app-development/intermediate
WE0066,Expert Web Development Course,Coursera,Expert,Advanced Topics in Expert Web Development Course,Hard,"web development, frontend, backend, full-stack",https://coursera.com/web-development/expert
SO0067,Intermediate Software Engineering Course,Udemy,Intermediate,Introduction to Intermediate Software Engineering Course,Easy,"software engineering, programming, coding, development",https://udemy.com/software-engineering/intermediate
MA0068,Expert Machine Learning Course,Pluralsight,Expert,Advanced Topics in Expert Machine Learning Course,Hard,"machine learning, AI, artificial intelligence",https://pluralsight.com/machine-learning/expert
BL0069,Intermediate Blockchain Course,Google Developers,Intermediate,Introduction to Intermediate Blockchain Course,Easy,"blockchain, cryptocurrency, smart contracts",https://googledevelopers.com/blockchain/intermediate
DA0070,Beginner Data Science Course,Udemy,Beginner,Advanced Topics in Beginner Data Science Course,Hard,"data science, big data, analysis, statistics",https://udemy.com/data-science/beginner
MA0071,Intermediate Machine Learning Course,Coursera,Intermediate,Introduction to Intermediate Machine Learning Course,Easy,"machine learning, AI, artificial intelligence",https://coursera.com/machine-learning/intermediate
MA0072,Beginner Machine Learning Course,Google Developers,Beginner,Advanced Topics in Beginner Machine Learning Course,Hard,"machine learning, AI, artificial intelligence",https://googledevelopers.com/machine-learning/beginner
IO0073,Expert IoT Course,LinkedIn Learning,Expert,Intermediate Concepts in Expert IoT Course,Medium,"IoT, internet of things, smart devices",https://linkedinlearning.com/iot/expert
MA0074,Beginner Machine Learning Course,Pluralsight,Beginner,Advanced Topics in Beginner Machine Learning Course,Hard,"machine learning, AI, artificial intelligence",https://pluralsight.com/machine-learning/beginner
CL0075,Expert Cloud Computing Course,Udemy,Expert,Introduction to Expert Cloud Computing Course,Easy,"cloud, AWS, Azure, GCP",https://udemy.com/cloud-computing/expert
IO0076,Beginner IoT Course,Google Developers,Beginner,Introduction to Beginner IoT Course,Easy,"IoT, internet of things, smart devices",https://googledevelopers.com/iot/beginner
BL0077,Expert Blockchain Course,Coursera,Expert,Advanced Topics in Expert Blockchain Course,Hard,"blockchain, cryptocurrency, smart contracts",https://coursera.com/blockchain/expert
DA0078,Beginner Data Science Course,Pluralsight,Beginner,Introduction to Beginner Data Science Course,Easy,"data science, big data, analysis, statistics",https://pluralsight.com/data-science/beginner
CL0079,Intermediate Cloud Computing Course,Coursera,Intermediate,Advanced Topics in Intermediate Cloud Computing Course,Hard,"cloud, AWS, Azure, GCP",https://coursera.com/cloud-computing/intermediate
DE0080,Intermediate DevOps Course,Google Developers,Intermediate,Intermediate Concepts in Intermediate DevOps Course,Medium,"devops, automation, CI/CD, infrastructure",https://googledevelopers.com/devops/intermediate
CY0081,Intermediate Cybersecurity Course,Google Developers,Intermediate,Advanced Topics in Intermediate Cybersecurity Course,Hard,"cybersecurity, information security, encryption",https://googledevelopers.com/cybersecurity/intermediate
CL0082,Intermediate Cloud Computing Course,edX,Intermediate,Advanced Topics in Intermediate Cloud Computing Course,Hard,"cloud, AWS, Azure, GCP",https://edx.com/cloud-computing/intermediate
DA0083,Beginner Data Science Course,Coursera,Beginner,Intermediate Concepts in Beginner Data Science Course,Medium,"data science, big data, analysis, statistics",https://coursera.com/data-science/beginner
CL0084,Intermediate Cloud Computing Course,Google Developers,Intermediate,Introduction to Intermediate Cloud Computing Course,Easy,"cloud, AWS, Azure, GCP",https://googledevelopers.com/cloud-computing/intermediate
BL0085,Intermediate Blockchain Course,Coursera,Intermediate,Advanced Topics in Intermediate Blockchain Course,Hard,"blockchain, cryptocurrency, smart contracts",https://coursera.com/blockchain/intermediate
CY0086,Intermediate Cybersecurity Course,Coursera,Intermediate,Advanced Topics in Intermediate Cybersecurity Course,Hard,"cybersecurity, information security, encryption",https://coursera.com/cybersecurity/intermediate
DA0087,Expert Data Science Course,LinkedIn Learning,Expert,Introduction to Expert Data Science Course,Easy,"data science, big data, analysis, statistics",https://linkedinlearning.com/data-science/expert
DE0088,Intermediate DevOps Course,LinkedIn Learning,Intermediate,Advanced Topics in Intermediate DevOps Course,Hard,"devops, automation, CI/CD, infrastructure",https://linkedinlearning.com/devops/intermediate
IO0089,Expert IoT Course,Udemy,Expert,Intermediate Concepts in Expert IoT Course,Medium,"IoT, internet of things, smart devices",https://udemy.com/iot/expert
MA0090,Expert Machine Learning Course,edX,Expert,Introduction to Expert Machine Learning Course,Easy,"machine learning, AI, artificial intelligence",https://edx.com/machine-learning/expert
MA0091,Expert Machine Learning Course,edX,Expert,Introduction to Expert Machine Learning Course,Easy,"machine learning, AI, artificial intelligence",https://edx.com/machine-learning/expert
UI0092,Expert UI/UX Design Course,Pluralsight,Expert,Intermediate Concepts in Expert UI/UX Design Course,Medium,"UI, UX, design, user experience, user interface",https://pluralsight.com/ui/ux-design/expert
MO0093,Beginner Mobile App Development Course,Google Developers,Beginner,Intermediate Concepts in Beginner Mobile App Development Course,Medium,"mobile app development, Android, iOS, Flutter",https://googledevelopers.com/mobile-app-development/beginner
WE0094,Expert Web Development Course,Udemy,Expert,Advanced Topics in Expert Web Development Course,Hard,"web development, frontend, backend, full-stack",https://udemy.com/web-development/expert
AI0095,Beginner AI Course,edX,Beginner,Advanced Topics in Beginner AI Course,Hard,"AI, deep learning, machine learning",https://edx.com/ai/beginner
UI0096,Expert UI/UX Design Course,edX,Expert,Introduction to Expert UI/UX Design Course,Easy,"UI, UX, design, user experience, user interface",https://edx.com/ui/ux-design/expert
DA0097,Expert Data Science Course,Coursera,Expert,Advanced Topics in Expert Data Science Course,Hard,"data science, big data, analysis, statistics",https://coursera.com/data-science/expert
UI0098,Expert UI/UX Design Course,edX,Expert,Introduction to Expert UI/UX Design Course,Easy,"UI, UX, design, user experience, user interface",https://edx.com/ui/ux-design/expert
AI0099,Beginner AI Course,Google Developers,Beginner,Advanced Topics in Beginner AI Course,Hard,"AI, deep learning, machine learning",https://googledevelopers.com/ai/beginner
MO0100,Expert Mobile App Development Course,LinkedIn Learning,Expert,Advanced Topics in Expert Mobile App Development Course,Hard,"mobile app development, Android, iOS, Flutter",https://linkedinlearning.com/mobile-app-development/expert
WE0101,Expert Web Development Course,Google Developers,Expert,Advanced Topics in Expert Web Development Course,Hard,"web development, frontend, backend, full-stack",https://googledevelopers.com/web-development/expert
BL0102,Beginner Blockchain Course,Coursera,Beginner,Introduction to Beginner Blockchain Course,Easy,"blockchain, cryptocurrency, smart contracts",https://coursera.com/blockchain/beginner
DE0103,Expert DevOps Course,edX,Expert,Advanced Topics in Expert DevOps Course,Hard,"devops, automation, CI/CD, infrastructure",https://edx.com/devops/expert
WE0104,Expert Web Development Course,LinkedIn Learning,Expert,Introduction to Expert Web Development Course,Easy,"web development, frontend, backend, full-stack",https://linkedinlearning.com/web-development/expert
CY0105,Intermediate Cybersecurity Course,Pluralsight,Intermediate,Intermediate Concepts in Intermediate Cybersecurity Course,Medium,"cybersecurity, information security, encryption",https://pluralsight.com/cybersecurity/intermediate
DA0106,Intermediate Data Science Course,edX,Intermediate,Introduction to Intermediate Data Science Course,Easy,"data science, big data, analysis, statistics",https://edx.com/data-science/intermediate
AI0107,Intermediate AI Course,Pluralsight,Intermediate,Advanced Topics in Intermediate AI Course,Hard,"AI, deep learning, machine learning",https://pluralsight.com/ai/intermediate
MA0108,Intermediate Machine Learning Course,Pluralsight,Intermediate,Introduction to Intermediate Machine Learning Course,Easy,"machine learning, AI, artificial intelligence",https://pluralsight.com/machine-learning/intermediate
MA0109,Intermediate Machine Learning Course,LinkedIn Learning,Intermediate,Advanced Topics in Intermediate Machine Learning Course,Hard,"machine learning, AI, artificial intelligence",https://linkedinlearning.com/machine-learning/intermediate
MA0110,Expert Machine Learning Course,Pluralsight,Expert,Introduction to Expert Machine Learning Course,Easy,"machine learning, AI, artificial intelligence",https://pluralsight.com/machine-learning/expert
DA0111,Intermediate Data Science Course,Google Developers,Intermediate,Advanced Topics in Intermediate Data Science Course,Hard,"data science, big data, analysis, statistics",https://googledevelopers.com/data-science/intermediate
WE0112,Beginner Web Development Course,edX,Beginner,Intermediate Concepts in Beginner Web Development Course,Medium,"web development, frontend, backend, full-stack",https://edx.com/web-development/beginner
MO0113,Expert Mobile App Development Course,Coursera,Expert,Advanced Topics in Expert Mobile App Development Course,Hard,"mobile app development, Android, iOS, Flutter",https://coursera.com/mobile-app-development/expert
IO0114,Beginner IoT Course,Pluralsight,Beginner,Introduction to Beginner IoT Course,Easy,"IoT, internet of things, smart devices",https://pluralsight.com/iot/beginner
DA0115,Beginner Data Science Course,Coursera,Beginner,Introduction to Beginner Data Science Course,Easy,"data science, big data, analysis, statistics",https://coursera.com/data-science/beginner
CL0116,Intermediate Cloud Computing Course,Coursera,Intermediate,Intermediate Concepts in Intermediate Cloud Computing Course,Medium,"cloud, AWS, Azure, GCP",https://coursera.com/cloud-computing/intermediate
AI0117,Beginner AI Course,edX,Beginner,Intermediate Concepts in Beginner AI Course,Medium,"AI, deep learning, machine learning",https://edx.com/ai/beginner
MA0118,Expert Machine Learning Course,Udemy,Expert,Intermediate Concepts in Expert Machine Learning Course,Medium,"machine learning, AI, artificial intelligence",https://udemy.com/machine-learning/expert
MA0119,Expert Machine Learning Course,Google Developers,Expert,Advanced Topics in Expert Machine Learning Course,Hard,"machine learning, AI, artificial intelligence",https://googledevelopers.com/machine-learning/expert
CY0120,Intermediate Cybersecurity Course,edX,Intermediate,Introduction to Intermediate Cybersecurity Course,Easy,"cybersecurity, information security, encryption",https://edx.com/cybersecurity/intermediate
CL0121,Beginner Cloud Computing Course,Pluralsight,Beginner,Advanced Topics in Beginner Cloud Computing Course,Hard,"cloud, AWS, Azure, GCP",https://pluralsight.com/cloud-computing/beginner
MO0122,Intermediate Mobile App Development Course,LinkedIn Learning,Intermediate,Advanced Topics in Intermediate Mobile App Development Course,Hard,"mobile app development, Android, iOS, Flutter",https://linkedinlearning.com/mobile-app-development/intermediate
SO0123,Expert Software Engineering Course,LinkedIn Learning,Expert,Introduction to Expert Software Engineering Course,Easy,"software engineering, programming, coding, development",https://linkedinlearning.com/software-engineering/expert
IO0124,Intermediate IoT Course,edX,Intermediate,Introduction to Intermediate IoT Course,Easy,"IoT, internet of things, smart devices",https://edx.com/iot/intermediate
AI0125,Intermediate AI Course,LinkedIn Learning,Intermediate,Intermediate Concepts in Intermediate AI Course,Medium,"AI, deep learning, machine learning",https://linkedinlearning.com/ai/intermediate
UI0126,Expert UI/UX Design Course,Udemy,Expert,Introduction to Expert UI/UX Design Course,Easy,"UI, UX, design, user experience, user interface",https://udemy.com/ui/ux-design/expert
MA0127,Expert Machine Learning Course,LinkedIn Learning,Expert,Intermediate Concepts in Expert Machine Learning Course,Medium,"machine learning, AI, artificial intelligence",https://linkedinlearning.com/machine-learning/expert
MO0128,Intermediate Mobile App Development Course,Coursera,Intermediate,Intermediate Concepts in Intermediate Mobile App Development Course,Medium,"mobile app development, Android, iOS, Flutter",https://coursera.com/mobile-app-development/intermediate
BL0129,Beginner Blockchain Course,LinkedIn Learning,Beginner,Advanced Topics in Beginner Blockchain Course,Hard,"blockchain, cryptocurrency, smart contracts",https://linkedinlearning.com/blockchain/beginner
CL0130,Beginner Cloud Computing Course,Coursera,Beginner,Advanced Topics in Beginner Cloud Computing Course,Hard,"cloud, AWS, Azure, GCP",https://coursera.com/cloud-computing/beginner
IO0131,Beginner IoT Course,LinkedIn Learning,Beginner,Intermediate Concepts in Beginner IoT Course,Medium,"IoT, internet of things, smart devices",https://linkedinlearning.com/iot/beginner
CL0132,Expert Cloud Computing Course,Google Developers,Expert,Advanced Topics in Expert Cloud Computing Course,Hard,"cloud, AWS, Azure, GCP",https://googledevelopers.com/cloud-computing/expert
BL0133,Intermediate Blockchain Course,LinkedIn Learning,Intermediate,Intermediate Concepts in Intermediate Blockchain Course,Medium,"blockchain, cryptocurrency, smart contracts",https://linkedinlearning.com/blockchain/intermediate
SO0134,Intermediate Software Engineering Course,Pluralsight,Intermediate,Intermediate Concepts in Intermediate Software Engineering Course,Medium,"software engineering, programming, coding, development",https://pluralsight.com/software-engineering/intermediate
MO0135,Beginner Mobile App Development Course,Pluralsight,Beginner,Introduction to Beginner Mobile App Development Course,Easy,"mobile app development, Android, iOS, Flutter",https://pluralsight.com/mobile-app-development/beginner
DE0136,Expert DevOps Course,Pluralsight,Expert,Introduction to Expert DevOps Course,Easy,"devops, automation, CI/CD, infrastructure",https://pluralsight.com/devops/expert
CL0137,Beginner Cloud Computing Course,Google Developers,Beginner,Intermediate Concepts in Beginner Cloud Computing Course,Medium,"cloud, AWS, Azure, GCP",https://googledevelopers.com/cloud-computing/beginner
WE0138,Intermediate Web Development Course,Udemy,Intermediate,Intermediate Concepts in Intermediate Web Development Course,Medium,"web development, frontend, backend, full-stack",https://udemy.com/web-development/intermediate
AI0139,Expert AI Course,Coursera,Expert,Introduction to Expert AI Course,Easy,"AI, deep learning, machine learning",https://coursera.com/ai/expert
AI0140,Expert AI Course,Google Developers,Expert,Advanced Topics in Expert AI Course,Hard,"AI, deep learning, machine learning",https://googledevelopers.com/ai/expert
DA0141,Beginner Data Science Course,Udemy,Beginner,Introduction to Beginner Data Science Course,Easy,"data science, big data, analysis, statistics",https://udemy.com/data-science/beginner
SO0142,Beginner Software Engineering Course,Google Developers,Beginner,Introduction to Beginner Software Engineering Course,Easy,"software engineering, programming, coding, development",https://googledevelopers.com/software-engineering/beginner
CY0143,Beginner Cybersecurity Course,Udemy,Beginner,Intermediate Concepts in Beginner Cybersecurity Course,Medium,"cybersecurity, information security, encryption",https://udemy.com/cybersecurity/beginner
IO0144,Expert IoT Course,Udemy,Expert,Introduction to Expert IoT Course,Easy,"IoT, internet of things, smart devices",https://udemy.com/iot/expert
IO0145,Intermediate IoT Course,Pluralsight,Intermediate,Advanced Topics in Intermediate IoT Course,Hard,"IoT, internet of things, smart devices",https://pluralsight.com/iot/intermediate
SO0146,Intermediate Software Engineering Course,edX,Intermediate,Introduction to Intermediate Software Engineering Course,Easy,"software engineering, programming, coding, development",https://edx.com/software-engineering/intermediate
UI0147,Expert UI/UX Design Course,edX,Expert,Advanced Topics in Expert UI/UX Design Course,Hard,"UI, UX, design, user experience, user interface",https://edx.com/ui/ux-design/expert
MO0148,Intermediate Mobile App Development Course,LinkedIn Learning,Intermediate,Introduction to Intermediate Mobile App Development Course,Easy,"mobile app development, Android, iOS, Flutter",https://linkedinlearning.com/mobile-app-development/intermediate
IO0149,Beginner IoT Course,edX,Beginner,Introduction to Beginner IoT Course,Easy,"IoT, internet of things, smart devices",https://edx.com/iot/beginner
DE0150,Expert DevOps Course,edX,Expert,Intermediate Concepts in Expert DevOps Course,Medium,"devops, automation, CI/CD, infrastructure",https://edx.com/devops/expert
BL0151,Intermediate Blockchain Course,Pluralsight,Intermediate,Introduction to Intermediate Blockchain Course,Easy,"blockchain, cryptocurrency, smart contracts",https://pluralsight.com/blockchain/intermediate
UI0152,Expert UI/UX Design Course,edX,Expert,Introduction to Expert UI/UX Design Course,Easy,"UI, UX, design, user experience, user interface",https://edx.com/ui/ux-design/expert
CL0153,Beginner Cloud Computing Course,edX,Beginner,Introduction to Beginner Cloud Computing Course,Easy,"cloud, AWS, Azure, GCP",https://edx.com/cloud-computing/beginner
DA0154,Beginner Data Science Course,Udemy,Beginner,Advanced Topics in Beginner Data Science Course,Hard,"data science, big data, analysis, statistics",https://udemy.com/data-science/beginner
MO0155,Expert Mobile App Development Course,Coursera,Expert,Advanced Topics in Expert Mobile App Development Course,Hard,"mobile app development, Android, iOS, Flutter",https://coursera.com/mobile-app-development/expert
DE0156,Intermediate DevOps Course,Udemy,Intermediate,Intermediate Concepts in Intermediate DevOps Course,Medium,"devops, automation, CI/CD, infrastructure",https://udemy.com/devops/intermediate
MO0157,Expert Mobile App Development Course,Coursera,Expert,Introduction to Expert Mobile App Development Course,Easy,"mobile app development, Android, iOS, Flutter",https://coursera.com/mobile-app-development/expert
SO0158,Beginner Software Engineering Course,Pluralsight,Beginner,Intermediate Concepts in Beginner Software Engineering Course,Medium,"software engineering, programming, coding, development",https://pluralsight.com/software-engineering/beginner
UI0159,Beginner UI/UX Design Course,LinkedIn Learning,Beginner,Advanced Topics in Beginner UI/UX Design Course,Hard,"UI, UX, design, user experience, user interface",https://linkedinlearning.com/ui/ux-design/beginner
BL0160,Beginner Blockchain Course,Coursera,Beginner,Introduction to Beginner Blockchain Course,Easy,"blockchain, cryptocurrency, smart contracts",https://coursera.com/blockchain/beginner
AI0161,Expert AI Course,Udemy,Expert,Introduction to Expert AI Course,Easy,"AI, deep learning, machine learning",https://udemy.com/ai/expert
